reimbursement_type_code,meeting_type_code,meeting_type_name,expense_type_code,expense_type_name,issue_code,problem_title,sop_description,standard_handling,legacy_problem_code
EN,0,个人,1,月度交通费（销售/SMO/CO),1,燃油费行程问题,根据SOP规定，月度交通费报销燃油费需提供每张燃油费的使用时间区间，行程为医院的需具体到科室,请根据要求在评论区将行程补充完整,EN000101
EN,0,个人,1,月度交通费（销售/SMO/CO),2,出租车行程问题,根据SOP规定，月度交通费报销出租车费用，需注明具体的行程地点和事由，行程为医院的，应明确注明拜访医院及科室,请根据要求补充至HLY评论区,EN000102
EN,0,个人,1,月度交通费（销售/SMO/CO),3,网约车行程问题,根据SOP规定，月度交通费报销网约车费用，行程为医院的，应明确注明拜访医院及科室，并提供事由,请根据要求补充至HLY评论区,EN000103
EN,0,个人,1,月度交通费（销售/SMO/CO),4,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,EN000104
EN,0,个人,1,月度交通费（销售/SMO/CO),5,当月总额超限额,根据SOP规定，月度交通费超过标准限额，如需报销，需补充提供部门负责人的特批,请提供,EN000105
EN,0,个人,2,交通费-市内,1,出租车行程问题,根据SOP规定，驻地内产生的出租车，公共汽车、地铁等发票，报销时需列明行程和事由,请根据要求补充至HLY评论区,EN000201
EN,0,个人,2,交通费-市内,2,网约车行程问题,根据SOP规定，驻地内产生的网约车费用发票，报销时需要提供行程单和事由,请根据要求补充至HLY评论区,EN000202
EN,0,个人,2,交通费-市内,3,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,EN000203
EN,0,个人,2,交通费-市内,4,OT打车问题,根据SOP规定，工作到晚上19:30分后可以报销回家出租车费，您的OT打车费用不符合要求,请确认后为您扣除,EN000204
EN,0,个人,3,电话费,1,非套餐话费超标&充值发票,根据SOP规定，报销话费金额大于350元或发票为充值发票，需要提供话费明细账单；,请补充上传至HLY评论区,EN000301
EN,0,个人,3,电话费,2,套餐超350元,根据SOP规定，月度套餐费用超过350元的，需解释实际费用需求，并获部门负责人审批,请提供,EN000302
EN,0,个人,3,电话费,3,手机号未备案,根据SOP规定，员工需要报销费用的手机号码须在公司备案登记。您的号码未备案，不予报销,请提供备案记录或我们帮您扣除该号码下的金额,EN000303
EN,0,个人,3,电话费,4,话费发票无账期,您提供的电话费发票未显示费用账期，需补充提供话费账单明细或话费消费记录,请提供,EN000304
EN,0,个人,4,工作餐,1,缺水单,根据SOP规定，费用金额超过300元，需提供水单,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN000401
EN,0,个人,4,工作餐,2,超市、商场&水果市场费用,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN000402
EN,0,个人,4,工作餐,3,系统与水单人数不一致,水单用餐人数与系统填报的用餐人数不一致,请确认实际用餐人数并解释说明,EN000403
EN,0,个人,5,办公用品,1,费用超600,根据SOP规定，费用超过600元，提供营运部负责人批准邮件,请提供,EN000501
EN,0,个人,5,办公用品,2,缺少明细,根据SOP规定，报销办公用品需提供购买明细,请提供,EN000502
EN,0,个人,6,IT配件,1,费用超600,根据SOP规定，费用超过600元，提供营运部负责人批准邮件,请提供,EN000601
EN,0,个人,6,IT配件,2,缺少明细,根据SOP规定，报销IT配件需提供购买产品明细,请提供,EN000602
EN,0,个人,7,快递/货运,1,缺少快递明细or底单,根据SOP规定，报销快递费用需提供快递明细单或底单,请提供,EN000701
EN,0,个人,8,打印/复印,1,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN000801
EN,0,个人,8,打印/复印,2,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN000802
EN,0,个人,8,打印/复印,3,缺少明细,根据SOP规定，打印/复印费用≥300元，需提供水单明细,请提供,EN000803
EN,0,个人,9,外部会议/培训,1,缺少邀请函,根据SOP规定，外部培训需提供邀请函,请提供,EN000901
EN,0,个人,9,外部会议/培训,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN000902
EN,0,个人,9,外部会议/培训,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN000903
EN,0,个人,10,临床杂项,1,未提供临床项目名称,根据SOP规定，临床杂项费用报销时需提供临床项目名称,请提供,EN001001
EN,0,个人,10,临床杂项,2,缺水单,根据SOP规定，临床杂项费用报销时需提供水单,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN001002
EN,0,个人,10,临床杂项,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN001003
EN,0,个人,10,临床杂项,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN001004
EN,0,个人,11,杂项开支,1,缺水单,根据SOP规定，杂项开支费用报销时需提供水单,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN001101
EN,0,个人,11,杂项开支,2,缺事由说明,根据SOP规定，杂项开支费用报销时需提供事由说明,请在评论区补充,EN001102
EN,0,个人,11,杂项开支,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN001103
EN,0,个人,11,杂项开支,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN001104
EN,0,个人,12,机票,1,缺行程单or发票及订单,根据SOP规定，报销机票费用需提供机票行程单或发票及订单,请根据要求补充提供，如无法提供请提供财务总监特批,EN001201
EN,0,个人,12,机票,2,缺携程订单or比价单or特批,"根据SOP规定，机票费用如是通过携程商旅上预订的，需提供携程订单；未在携程上预订，需要提供当时低
于携程订购价、会议邀请等支持性文件或财务总监审批邮件；",请根据要求补充提供,EN001202
