Document Code,Meeting Code,会议类型,Expense Code,费用类型,Issue Code,问题类型,SOP描述,标准处理方法,"向员工展示的问题描述（合并问题描述和处理方法）"
MN010101,01,学术论坛,01,会议讲课费,01,非讲者库讲者,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库,不符合要求不予支付讲课费,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库不符合要求不予支付讲课费
MN010102,01,学术论坛,01,会议讲课费,02,业务约定书不完整,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司,请提供,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司请提供
MN010103,01,学术论坛,01,会议讲课费,03,讲者人数超标,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%,请确认，并告知需扣除讲课费的HCP姓名,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%请确认，并告知需扣除讲课费的HCP姓名
MN010104,01,学术论坛,01,会议讲课费,04,主席和点评嘉宾人数超标,根据SOP规定，支付讲课费的主席和点评专家的总数不得超过讲者总数,请确认，并告知需扣除讲课费的HCP姓名,根据SOP规定，支付讲课费的主席和点评专家的总数不得超过讲者总数请确认，并告知需扣除讲课费的HCP姓名
MN010105,01,学术论坛,01,会议讲课费,05,讲者未全程参会,根据SOP规定，支付讲课费的专家需全程参会，并签到,请补充提供签到，不符合要求不予支付讲课费,根据SOP规定，支付讲课费的专家需全程参会，并签到请补充提供签到，不符合要求不予支付讲课费
MN010106,01,学术论坛,01,会议讲课费,06,演讲时长不达标,根据SOP规定，学术论坛讲者讲课时间（包括手术演示、讨论问答）需≥20分钟,不符合要求不予支付讲课费,根据SOP规定，学术论坛讲者讲课时间（包括手术演示、讨论问答）需≥20分钟不符合要求不予支付讲课费
MN010107,01,学术论坛,01,会议讲课费,07,点评时长不达标,根据SOP规定，学术论坛点评专家限全国级和区域级HCP，且点评时长累计需≥10分钟，,不符合要求不予支付讲课费,根据SOP规定，学术论坛点评专家限全国级和区域级HCP，且点评时长累计需≥10分钟，不符合要求不予支付讲课费
MN010108,01,学术论坛,01,会议讲课费,08,点评专家讲课费标准,根据SOP规定，学术论坛点评专家的讲课费支付标准为80%*职级标准,将为您扣除差额,根据SOP规定，学术论坛点评专家的讲课费支付标准为80%*职级标准将为您扣除差额
MN010109,01,学术论坛,01,会议讲课费,09,主席参会时长,"根据SOP规定，学术论坛主席限全国级和区域级HCP中主任医师、副主任医师,且原则上应全程参加活动并致辞发言，",不符合要求不予支付讲课费,"根据SOP规定，学术论坛主席限全国级和区域级HCP中主任医师、副主任医师,且原则上应全程参加活动并致辞发言，不符合要求不予支付讲课费"
MN010151,01,学术论坛,01,会议讲课费,51,会议权限_学术论坛,根据SOP规定，学术论坛可举办的组织者岗位为地区业务销售经理及以上、市场、医学、临床运营、市场准入和商务，您无权限举办此类型会议,请提供逐级审批至部门负责人的授权邮件并抄送合规,根据SOP规定，学术论坛可举办的组织者岗位为地区业务销售经理及以上、市场、医学、临床运营、市场准入和商务，您无权限举办此类型会议请提供逐级审批至部门负责人的授权邮件并抄送合规
MN010152,01,学术论坛,01,会议讲课费,52,会议议程_变更,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件,请提供,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件请提供
MN010153,01,学术论坛,01,会议讲课费,53,会议议程_不一致,会议议程内容与系统填报的实际会议情况不一致,请确认并提供更新的会议议程,会议议程内容与系统填报的实际会议情况不一致请确认并提供更新的会议议程
MN010154,01,学术论坛,01,会议讲课费,54,会议议程_不完整,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人,请补充提供,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人请补充提供
MN010155,01,学术论坛,01,会议讲课费,55,会议议程_时长不足,根据SOP规定，学术论坛会议时长需≥ 半天（2-4H）,请确认,根据SOP规定，学术论坛会议时长需≥ 半天（2-4H）请确认
MN010156,01,学术论坛,01,会议讲课费,56,会议地点_不得跨区,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批,请提供,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批请提供
MN010157,01,学术论坛,01,会议讲课费,57,会议地点_禁止景区,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议,不符合要求不予报销,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议不符合要求不予报销
MN010158,01,学术论坛,01,会议讲课费,58,会议地点_禁止场所,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动,不符合要求不予报销,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动不符合要求不予报销
MN010159,01,学术论坛,01,会议讲课费,59,会议签到_系统人数不一致,系统实际内外部参会人数与签到表不一致,请确认实际内外部参会人数，并解释说明,系统实际内外部参会人数与签到表不一致请确认实际内外部参会人数，并解释说明
MN010160,01,学术论坛,01,会议讲课费,60,会议签到_整场未电子签到,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件,请提供,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件请提供
MN010161,01,学术论坛,01,会议讲课费,61,会议签到_缺线下签到原件,根据SOP规定，线下签到单原件需邮寄至我司,请将原件邮寄至我司，邮寄后提供快递单号,根据SOP规定，线下签到单原件需邮寄至我司请将原件邮寄至我司，邮寄后提供快递单号
MN010162,01,学术论坛,01,会议讲课费,62,会议签到_线下签到缺审批,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字,将为您寄回线下签到表，请补充签字后原件寄回我司,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字将为您寄回线下签到表，请补充签字后原件寄回我司
MN010163,01,学术论坛,01,会议讲课费,63,会议照片_缺水印,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题请补充提供，如不符合要求将不予报销
